src,dst
3038,6477
2300,6269
1532,7075
3530,5139
558,3225
1677,5455
2868,6893
2637,5929
743,4574
5548,7226
1956,2843
1006,6789
59,6300
2020,7193
1695,4099
4055,7532
6502,7237
3504,6403
2605,6890
38,1956
6965,7105
2967,4163
1524,6654
543,6640
1239,5725
1678,2326
604,6004
104,6884
4869,6972
4898,6419
2146,5495
3334,6146
5795,7082
3732,4507
1230,6415
625,1346
3020,6919
685,5564
817,2808
49,4000
4289,6778
2673,7484
2452,7237
469,5111
113,6695
285,1180
396,4431
2373,6891
854,4122
3653,6712
279,659
95,7352
4338,5715
1635,5277
2376,5580
56,2902
4180,6712
4999,6519
612,5725
470,3341
343,907
2550,3430
899,2624
1833,5308
1381,4759
3038,7200
1228,4381
867,4900
3462,3509
1082,2381
415,6022
3103,6446
3005,3920
2935,4525
368,1705
521,2056
1159,6404
244,3405
4704,6329
2591,6597
4952,6383
418,4850
2083,2326
4319,4323
2296,6914
2887,6514
6101,7481
3666,3880
1300,2524
568,2980
2089,2231
1973,5207
3747,7123
3039,6431
2854,3240
2524,3852
78,2194
342,4627
44,3597
1801,2341
5061,5481
1878,4840
4657,7256
609,932
407,7450
6991,7489
4743,5725
1738,7296
4676,6419
2259,4785
2433,7579
2181,7600
3128,6134
3117,6784
1571,7488
2647,3408
5597,7498
398,4317
5301,5586
1786,5722
846,7468
2566,7074
2581,4937
3240,6361
4039,6095
4935,7621
2844,6530
2892,3038
2979,3103
1027,5721
3594,3948
7001,7141
3118,6442
471,4653
887,3038
1468,1776
3755,4895
798,1725
1117,3120
771,6884
1742,6825
112,6782
2615,3664
5717,6789
524,7082
1850,2154
938,3470
416,3948
6391,7226
4955,7224
3565,7088
1529,3746
898,5454
6339,6567
3450,7401
6004,6378
926,5315
2197,5212
477,7597
4032,7359
5454,5890
5127,7199
2024,6496
2744,2897
35,2045
2994,5245
4360,7490
660,6466
219,7352
3346,7474
1250,3921
4453,4532
985,2745
3705,3984
974,1226
4888,5115
998,5178
1119,5578
5436,7314
667,6137
6724,7587
576,6436
647,1665
3649,5127
4356,7219
2157,3910
211,1665
4118,6797
4298,5274
524,4716
3130,6860
6120,6578
2523,3006
721,4243
3679,3853
3559,6712
4550,6883
1665,6519
175,491
2938,5065
1006,5090
2835,4180
4119,7224
1836,6068
2727,6396
164,972
5309,5900
2964,3724
1538,1887
3450,4125
2858,5769
2926,5274
6622,7244
2151,2849
2526,3450
1150,6567
1090,3530
2483,5132
2797,6462
1792,6412
3597,4086
2510,3768
2510,5342
6155,6201
1005,6983
1878,4786
4754,4908
4741,5274
113,6639
2183,4723
3530,4436
5759,6369
1402,1849
998,4723
1658,3360
788,792
875,2158
2424,6845
524,1268
5944,6644
2639,5949
1759,2993
1693,6266
2138,6759
4082,4455
5090,6105
1050,7098
5063,6633
3523,3755
4323,6267
33,1300
1,580
1488,6983
2896,7350
1850,5383
1558,5443
4295,4880
68,6101
103,6838
2694,4350
212,6512
4963,5580
1057,3748
307,3786
4438,4701
1746,5610
645,7275
13,5857
1281,6003
4692,5261
5414,6725
5405,7224
1498,5936
1664,4034
1937,5047
1933,5355
1293,6792
4733,6341
2260,3359
2798,4891
2158,5053
1381,7305
4025,7579
2233,3760
2666,2673
317,6884
360,3597
4990,5334
6436,6562
4702,4925
3597,3882
1793,2349
4927,6544
159,7367
4384,6109
426,4359
