query_id,src,dst,label
0,6477,5004,0
0,6477,5092,0
0,6477,6243,0
0,6477,1834,0
0,6477,2467,0
0,6477,3038,1
1,6269,5312,0
1,6269,321,0
1,6269,561,0
1,6269,2300,1
1,6269,6991,0
1,6269,7155,0
2,1532,3360,0
2,1532,4735,0
2,1532,3064,0
2,1532,4710,0
2,1532,1685,0
2,1532,7075,1
3,5139,699,0
3,5139,569,0
3,5139,3530,1
3,5139,1009,0
3,5139,1021,0
3,5139,3968,0
4,3225,6530,0
4,3225,2691,0
4,3225,2935,0
4,3225,2923,0
4,3225,302,0
4,3225,558,1
5,1677,5128,0
5,1677,4938,0
5,1677,370,0
5,1677,4978,0
5,1677,5455,1
5,1677,4284,0
6,2868,2220,0
6,2868,753,0
6,2868,6893,1
6,2868,4377,0
6,2868,3694,0
6,2868,884,0
7,5929,5430,0
7,5929,237,0
7,5929,6617,0
7,5929,525,0
7,5929,2637,1
7,5929,1617,0
8,4574,1712,0
8,4574,4932,0
8,4574,3899,0
8,4574,5653,0
8,4574,743,1
8,4574,6899,0
9,7226,6392,0
9,7226,6143,0
9,7226,6871,0
9,7226,6901,0
9,7226,3357,0
9,7226,5548,1
10,1956,5413,0
10,1956,2843,1
10,1956,5884,0
10,1956,7371,0
10,1956,170,0
10,1956,2465,0
11,6789,4325,0
11,6789,4893,0
11,6789,3943,0
11,6789,3339,0
11,6789,1006,1
11,6789,5623,0
12,59,6300,1
12,59,7284,0
12,59,4084,0
12,59,388,0
12,59,1361,0
12,59,3376,0
13,7193,5114,0
13,7193,4025,0
13,7193,6307,0
13,7193,6458,0
13,7193,1831,0
13,7193,2020,1
14,1695,3908,0
14,1695,6053,0
14,1695,4099,1
14,1695,1867,0
14,1695,4557,0
14,1695,195,0
15,4055,3314,0
15,4055,7532,1
15,4055,3953,0
15,4055,540,0
15,4055,3359,0
15,4055,6557,0
16,6502,7237,1
16,6502,1951,0
16,6502,3444,0
16,6502,3041,0
16,6502,6244,0
16,6502,3534,0
17,6403,2618,0
17,6403,6514,0
17,6403,3504,1
17,6403,134,0
17,6403,1839,0
17,6403,2024,0
18,2605,5165,0
18,2605,6525,0
18,2605,2135,0
18,2605,1347,0
18,2605,7385,0
18,2605,6890,1
19,1956,6666,0
19,1956,2740,0
19,1956,2506,0
19,1956,38,1
19,1956,3522,0
19,1956,3078,0
20,7105,819,0
20,7105,6965,1
20,7105,7576,0
20,7105,4715,0
20,7105,7306,0
20,7105,6045,0
21,4163,7196,0
21,4163,1075,0
21,4163,2231,0
21,4163,1468,0
21,4163,4790,0
21,4163,2967,1
22,1524,2674,0
22,1524,4604,0
22,1524,6654,1
22,1524,6852,0
22,1524,286,0
22,1524,4242,0
23,6640,338,0
23,6640,6669,0
23,6640,158,0
23,6640,543,1
23,6640,5462,0
23,6640,29,0
24,5725,2687,0
24,5725,3427,0
24,5725,1239,1
24,5725,324,0
24,5725,5940,0
24,5725,5415,0
25,2326,2276,0
25,2326,1164,0
25,2326,1757,0
25,2326,1678,1
25,2326,7525,0
25,2326,7262,0
26,604,282,0
26,604,4842,0
26,604,6763,0
26,604,5185,0
26,604,1217,0
26,604,6004,1
27,104,3003,0
27,104,1251,0
27,104,2559,0
27,104,6070,0
27,104,6884,1
27,104,3088,0
28,6972,4869,1
28,6972,1225,0
28,6972,383,0
28,6972,2650,0
28,6972,2,0
28,6972,1335,0
29,6419,7462,0
29,6419,6460,0
29,6419,4898,1
29,6419,2401,0
29,6419,2061,0
29,6419,589,0
30,5495,2146,1
30,5495,4820,0
30,5495,5240,0
30,5495,6760,0
30,5495,4891,0
30,5495,5232,0
31,3334,5224,0
31,3334,2866,0
31,3334,3099,0
31,3334,2386,0
31,3334,6146,1
31,3334,376,0
32,7082,2550,0
32,7082,3564,0
32,7082,3673,0
32,7082,6523,0
32,7082,7591,0
32,7082,5795,1
33,4507,3106,0
33,4507,4325,0
33,4507,1821,0
33,4507,310,0
33,4507,3732,1
33,4507,1101,0
34,1230,1376,0
34,1230,5735,0
34,1230,6415,1
34,1230,1954,0
34,1230,5710,0
34,1230,162,0
35,1346,3790,0
35,1346,7397,0
35,1346,2061,0
35,1346,4253,0
35,1346,625,1
35,1346,49,0
36,3020,2702,0
36,3020,5081,0
36,3020,3654,0
36,3020,6919,1
36,3020,5987,0
36,3020,4837,0
37,685,5296,0
37,685,6446,0
37,685,6045,0
37,685,5564,1
37,685,5544,0
37,685,6567,0
38,817,2822,0
38,817,3044,0
38,817,2808,1
38,817,6613,0
38,817,2772,0
38,817,3023,0
39,49,268,0
39,49,1350,0
